season,lg,type,number_tm,player,position,seas_id,player_id,birth_year,tm,age
1974,ABA,All-ABA,2nd,Swen Nater,C,6027,1541,1950.0,TOT,24
1974,ABA,All-ABA,2nd,Willie Wise,F,6061,1236,1947.0,UTS,26
1974,ABA,All-Defense,1st,Artis Gilmore,,5653,1338,1949.0,KEN,24
1974,NBA,All-Defense,1st,Dave DeBusschere,,5733,767,,NYK,33
1974,ABA,All-Defense,1st,Fatty Taylor,,5771,1182,1946.0,VIR,27
1974,NBA,All-Defense,1st,Jerry Sloan,,5820,849,,CHI,31
1974,NBA,All-Defense,1st,John Havlicek,,5859,778,,BOS,33
1974,ABA,All-Defense,1st,Julius Keye,,5880,1202,,DNR,27
1974,NBA,All-Defense,1st,Kareem Abdul-Jabbar,,5882,1204,,MIL,26
1974,ABA,All-Defense,1st,Mike Gale,,5933,1388,1950.0,TOT,23
1974,NBA,All-Defense,1st,Norm Van Lier,,5953,1219,,CHI,26
1974,ABA,All-Defense,1st,Ted McClain,,6031,1406,1946.0,CAR,27
1974,NBA,All-Defense,1st,Walt Frazier,,6047,1061,,NYK,28
1974,ABA,All-Defense,1st,Willie Wise,,6061,1236,1947.0,UTS,26
1974,NBA,All-Defense,2nd,Bob Love,,5680,866,,CHI,31
1974,NBA,All-Defense,2nd,Dick Van Arsdale,,5752,846,,PHO,30
1974,NBA,All-Defense,2nd,Don Chaney,,5755,1092,1946.0,BOS,27
1974,NBA,All-Defense,2nd,Elvin Hayes,,5768,1101,,CAP,28
1974,NBA,All-Defense,2nd,Jim Price,,5836,1455,,LAL,24
1974,NBA,All-Defense,2nd,Nate Thurmond,,5949,809,,GSW,32
1974,NBA,All-NBA,1st,Gail Goodrich,G,5778,848,,LAL,30
1974,NBA,All-NBA,1st,John Havlicek,F,5859,778,,BOS,33
1974,NBA,All-NBA,1st,Kareem Abdul-Jabbar,C,5882,1204,,MIL,26
1974,NBA,All-NBA,1st,Rick Barry,F,5983,856,1944.0,GSW,29
1974,NBA,All-NBA,1st,Walt Frazier,G,6047,1061,,NYK,28
1974,NBA,All-NBA,2nd,Bob McAdoo,C,5681,1424,,BUF,22
1974,NBA,All-NBA,2nd,Dave Bing,G,5731,869,,DET,30
1974,NBA,All-NBA,2nd,Elvin Hayes,F,5768,1101,,CAP,28
1974,NBA,All-NBA,2nd,Norm Van Lier,G,5953,1219,,CHI,26
1974,NBA,All-NBA,2nd,Spencer Haywood,F,6014,1226,1949.0,SEA,24
1974,ABA,All-Rookie,1st,Bo Lamar,,5673,1493,1951.0,SDA,22
1974,NBA,All-Rookie,1st,Ernie DiGregorio,,5769,1503,,BUF,23
1974,NBA,All-Rookie,1st,John Brown,,5857,1513,,ATL,22
1974,ABA,All-Rookie,1st,John Williamson,,5871,1514,1951.0,NYA,22
1974,ABA,All-Rookie,1st,Larry Kenon,,5898,1520,1952.0,NYA,21
