season,lg,team,abbreviation,playoffs,g,mp,opp_fg,opp_fga,opp_fg_percent,opp_x3p,opp_x3pa,opp_x3p_percent,opp_x2p,opp_x2pa,opp_x2p_percent,opp_ft,opp_fta,opp_ft_percent,opp_orb,opp_drb,opp_trb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts
2022,NBA,Chicago Bulls,CHI,True,82.0,19730.0,3397.0,7170.0,0.474,960.0,2620.0,0.366,2437.0,4550.0,0.536,1430.0,1799.0,0.795,764.0,2777.0,3541.0,2049.0,584.0,410.0,1071.0,1489.0,9184.0
2022,NBA,Charlotte Hornets,CHO,False,82.0,19880.0,3444.0,7388.0,0.466,1148.0,3170.0,0.362,2296.0,4218.0,0.544,1385.0,1815.0,0.763,931.0,2920.0,3851.0,2169.0,617.0,377.0,1229.0,1609.0,9421.0
2022,NBA,Cleveland Cavaliers,CLE,False,82.0,19730.0,3236.0,7152.0,0.452,960.0,2721.0,0.353,2276.0,4431.0,0.514,1233.0,1592.0,0.774,858.0,2657.0,3515.0,1978.0,691.0,380.0,1101.0,1638.0,8665.0
2022,NBA,Dallas Mavericks,DAL,True,82.0,19755.0,3198.0,7001.0,0.457,895.0,2635.0,0.34,2303.0,4366.0,0.527,1296.0,1689.0,0.767,780.0,2799.0,3579.0,1925.0,575.0,300.0,1073.0,1645.0,8587.0
2022,NBA,Denver Nuggets,DEN,True,82.0,19805.0,3367.0,7168.0,0.47,971.0,2806.0,0.346,2396.0,4362.0,0.549,1349.0,1783.0,0.757,795.0,2680.0,3475.0,2082.0,649.0,392.0,1051.0,1632.0,9054.0
2022,NBA,Detroit Pistons,DET,False,82.0,19780.0,3333.0,7051.0,0.473,966.0,2668.0,0.362,2367.0,4383.0,0.54,1597.0,2056.0,0.777,847.0,2946.0,3793.0,2061.0,606.0,427.0,1197.0,1625.0,9229.0
2022,NBA,Golden State Warriors,GSW,True,82.0,19730.0,3111.0,7098.0,0.438,1000.0,2948.0,0.339,2111.0,4150.0,0.509,1426.0,1880.0,0.759,792.0,2705.0,3497.0,1875.0,649.0,317.0,1189.0,1474.0,8648.0
2022,NBA,Houston Rockets,HOU,False,82.0,19755.0,3562.0,7374.0,0.483,1048.0,2966.0,0.353,2514.0,4408.0,0.57,1520.0,1943.0,0.782,915.0,2831.0,3746.0,2103.0,776.0,474.0,1155.0,1812.0,9692.0
2022,NBA,Indiana Pacers,IND,False,82.0,19880.0,3485.0,7212.0,0.483,985.0,2645.0,0.372,2500.0,4567.0,0.547,1470.0,1845.0,0.797,833.0,2702.0,3535.0,2058.0,664.0,401.0,1087.0,1575.0,9425.0
2022,NBA,Los Angeles Clippers,LAC,False,82.0,19780.0,3343.0,7432.0,0.45,958.0,2780.0,0.345,2385.0,4652.0,0.513,1244.0,1606.0,0.775,984.0,2881.0,3865.0,1975.0,631.0,339.0,1113.0,1515.0,8888.0
2022,NBA,Los Angeles Lakers,LAL,False,82.0,19980.0,3491.0,7424.0,0.47,1032.0,2935.0,0.352,2459.0,4489.0,0.548,1428.0,1911.0,0.747,902.0,2920.0,3822.0,2154.0,684.0,338.0,1152.0,1647.0,9442.0
2022,NBA,Memphis Grizzlies,MEM,True,82.0,19780.0,3305.0,7269.0,0.455,987.0,2828.0,0.349,2318.0,4441.0,0.522,1417.0,1837.0,0.771,821.0,2706.0,3527.0,2047.0,588.0,496.0,1235.0,1625.0,9014.0
2022,NBA,Miami Heat,MIA,True,82.0,19855.0,3078.0,6886.0,0.447,1064.0,3138.0,0.339,2014.0,3748.0,0.537,1437.0,1845.0,0.779,783.0,2634.0,3417.0,1908.0,608.0,330.0,1228.0,1686.0,8657.0
2022,NBA,Milwaukee Bucks,MIL,True,82.0,19755.0,3391.0,7431.0,0.456,1186.0,3328.0,0.356,2205.0,4103.0,0.537,1227.0,1634.0,0.751,812.0,2805.0,3617.0,2122.0,606.0,357.0,1070.0,1612.0,9195.0
2022,NBA,Minnesota Timberwolves,MIN,True,82.0,19780.0,3298.0,7163.0,0.46,1071.0,3062.0,0.35,2227.0,4101.0,0.543,1624.0,2081.0,0.78,904.0,2858.0,3762.0,2149.0,593.0,397.0,1339.0,1715.0,9291.0
2022,NBA,New Orleans Pelicans,NOP,True,82.0,19755.0,3301.0,7009.0,0.471,1064.0,2913.0,0.365,2237.0,4096.0,0.546,1377.0,1753.0,0.786,759.0,2666.0,3425.0,2039.0,605.0,391.0,1164.0,1681.0,9043.0
2022,NBA,New York Knicks,NYK,False,82.0,19780.0,3154.0,7050.0,0.447,1038.0,3032.0,0.342,2116.0,4018.0,0.527,1395.0,1826.0,0.764,766.0,2812.0,3578.0,1982.0,572.0,379.0,1039.0,1671.0,8741.0
2022,NBA,Oklahoma City Thunder,OKC,False,82.0,19805.0,3398.0,7421.0,0.458,1118.0,3171.0,0.353,2280.0,4250.0,0.536,1256.0,1629.0,0.771,906.0,3060.0,3966.0,2142.0,695.0,490.0,1085.0,1463.0,9170.0
2022,NBA,Orlando Magic,ORL,False,82.0,19780.0,3346.0,7300.0,0.458,1082.0,2979.0,0.363,2264.0,4321.0,0.524,1429.0,1851.0,0.772,852.0,3014.0,3866.0,2034.0,655.0,428.0,1079.0,1501.0,9203.0
2022,NBA,Philadelphia 76ers,PHI,True,82.0,19805.0,3253.0,7097.0,0.458,931.0,2692.0,0.346,2322.0,4405.0,0.527,1364.0,1773.0,0.769,838.0,2784.0,3622.0,1932.0,542.0,379.0,1087.0,1594.0,8801.0
2022,NBA,Phoenix Suns,PHO,True,82.0,19730.0,3216.0,7243.0,0.444,953.0,2805.0,0.34,2263.0,4438.0,0.51,1416.0,1861.0,0.761,863.0,2783.0,3646.0,1875.0,614.0,327.0,1206.0,1553.0,8801.0
2022,NBA,Portland Trail Blazers,POR,False,82.0,19730.0,3373.0,7045.0,0.479,1129.0,3046.0,0.371,2244.0,3999.0,0.561,1564.0,2014.0,0.777,800.0,2868.0,3668.0,2184.0,672.0,409.0,1150.0,1589.0,9439.0
2022,NBA,Sacramento Kings,SAC,False,82.0,19805.0,3561.0,7429.0,0.479,1065.0,2864.0,0.372,2496.0,4565.0,0.547,1306.0,1682.0,0.776,866.0,2891.0,3757.0,2077.0,668.0,395.0,1106.0,1665.0,9493.0
2022,NBA,San Antonio Spurs,SAS,False,82.0,19805.0,3482.0,7475.0,0.466,992.0,2756.0,0.36,2490.0,4719.0,0.528,1313.0,1711.0,0.767,933.0,2902.0,3835.0,1970.0,601.0,403.0,1131.0,1553.0,9269.0
2022,NBA,Toronto Raptors,TOR,True,82.0,19855.0,3197.0,6919.0,0.462,1014.0,2861.0,0.354,2183.0,4058.0,0.538,1374.0,1742.0,0.789,847.0,2764.0,3611.0,2076.0,549.0,416.0,1298.0,1563.0,8782.0
