seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
31286,2024,4939,Herbert Jones,,PF,25,3,NBA,NOP,3,88,,,62.0,38.0,,-5.3,-3.7,3,1,7,0,4,4.0,11,1,1
31287,2024,5130,Hunter Tyson,,PF,23,1,NBA,DEN,1,3,,,,,100.0,16.7,2.3,0,0,1,0,0,0.0,0,0,0
31288,2024,4837,Immanuel Quickley,,SG,24,4,NBA,NYK,4,95,57.0,43.0,,,,-5.8,-15.8,4,3,4,2,6,0.0,33,1,4
31289,2024,4838,Isaac Okoro,,SF,23,4,NBA,CLE,4,119,,5.0,63.0,32.0,,-1.9,17.8,0,3,6,1,7,4.0,22,1,3
31290,2024,4627,Isaiah Hartenstein,,C,25,6,NBA,NYK,4,73,,,,,100.0,-7.2,-15.6,2,1,4,0,4,0.0,12,1,0
31291,2024,4940,Isaiah Jackson,,C,22,3,NBA,IND,1,11,,,,,100.0,12.0,2.8,0,0,1,0,0,0.0,0,0,0
31292,2024,4839,Isaiah Joe,,SG,24,4,NBA,OKC,4,80,26.0,74.0,,,,11.4,18.3,2,1,3,1,1,3.0,12,0,1
31293,2024,5047,Isaiah Mobley,,PF,24,2,NBA,CLE,1,1,,,,100.0,,-150.0,-142.1,0,0,1,0,0,0.0,0,0,0
31294,2024,4840,Isaiah Stewart,,C,22,4,NBA,DET,4,135,,,,100.0,1.0,8.7,14.4,2,1,5,2,3,1.0,11,1,4
31295,2024,4410,Ivica Zubac,,C,26,8,NBA,LAC,4,90,,,,,100.0,35.2,37.3,1,2,7,2,6,0.0,2,1,4
31296,2024,4972,JT Thor,,PF,21,3,NBA,CHO,3,64,,,,76.0,24.0,-2.3,7.9,0,0,2,0,0,0.0,10,0,2
31297,2024,3824,JaVale McGee,,C,36,16,NBA,SAC,3,41,,,,,100.0,19.8,22.4,2,1,1,0,2,0.0,3,1,0
31298,2024,5048,Jabari Smith Jr.,,PF,20,2,NBA,HOU,3,97,,,,81.0,19.0,-2.7,36.1,1,2,8,0,2,0.0,16,0,2
31299,2024,5049,Jabari Walker,,SF,21,2,NBA,POR,4,56,,,56.0,41.0,3.0,14.0,34.0,0,3,4,1,6,0.0,2,2,3
31300,2024,5051,Jacob Gilyard,,PG,25,2,NBA,MEM,1,1,100.0,,,,,,,0,0,0,0,0,0.0,0,0,0
31301,2024,5052,Jaden Hardy,,SG,21,2,NBA,DAL,1,10,,100.0,,,,-21.4,-33.3,0,0,0,1,0,0.0,2,0,0
31302,2024,5053,Jaden Ivey,,SG,21,2,NBA,DET,4,81,3.0,87.0,10.0,,,0.9,-6.2,2,3,6,1,2,0.0,31,1,2
31303,2024,4841,Jaden McDaniels,,SF,23,4,NBA,MIN,1,24,,9.0,92.0,,,-11.9,-13.5,0,0,1,0,0,1.0,5,0,0
31304,2024,4944,Jaden Springer,,SG,21,3,NBA,PHI,2,12,22.0,40.0,38.0,,,-44.0,-60.5,0,1,3,0,0,0.0,4,0,1
31305,2024,4091,Jae Crowder,,PF,33,12,NBA,MIL,3,78,,,48.0,52.0,,-15.9,-29.9,1,0,3,1,1,2.0,17,0,0
